State,ST,County,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Child.Poverty.living.in.families.below.the.poverty.line,White,Black,Hispanic,Asian,Amerindian,Other,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Iowa,IA,"Calhoun County, Iowa",67.89422135,27.34573947,0.352595495,3.369245837,9.3,90.7,18,4.3,81.2,25167.59016,21.9,10.25,9817,60.4,10.9,16,96.9,0.65,1.1,0.2,0.15,0.95,47.5,2.4,2.6,0.07,29.4,0.281,0.224,0.304,0.108,207.8,,0.108,0.048,85.8,,89.4,
Kentucky,KY,"Harrison County, Kentucky",69.85861183,26.10539846,0.59125964,2.36503856,20.8,79.2,13.8,5.8,73.45,24492.10349,33.35,17.15,18688,25.4,19.25,28.25,94.55,2.3,1.8,0.3,0.1,0.95,40.3,4.1,,0.1,61.5,0.391,0.309,0.294,0.132,218.4,32,0.173,0.075,164.38,,91.7,
Maine,ME,"Aroostook County, Maine",55.54157252,38.26044676,1.475845894,4.722134828,16.1,83.9,16.2,4.4,76.45,23295.15048,25.7,12.5,71922,38.8,16.15,21.15,95.2,0.6,1.05,0.5,1.45,1.25,44.4,4.1,3.7,0.07,28.2,0.316,0.238,0.329,0.141,166.5,43.8,0.151,0.092,72.08,,60.5,6.3
Ohio,OH,"Tuscarawas County, Ohio",65.11923768,29.67222111,0.68599082,3.891438835,15.5,84.5,14.3,5.1,74.4,25525.87397,20.95,10.05,91912,37.1,12.05,16.5,96.2,0.85,1.55,0.3,0.15,0.95,40.5,4.5,3.2,0.08,35.6,0.265,0.221,0.321,0.091,261.6,19,0.154,0.068,67.82,,49.1,6.6
Oklahoma,OK,"McIntosh County, Oklahoma",69.12540839,26.6649912,,4.209600402,22.9,77.1,11.1,2.9,75.5,21074.79556,33.6,18.6,19921,34.7,22.8,27,70.45,3.3,1.9,0.2,17.25,6.9,46.1,4.2,5.8,0.09,61.2,0.332,0.28,0.35,0.149,422.4,63.8,0.272,0.08,217.95,7.9,105,14.7
North Carolina,NC,"Henderson County, North Carolina",62.55060729,34.61362436,,2.835768351,12.8,87.2,27.3,10.1,74.2,25456.56984,26.3,7.75,103536,49.2,12.4,20.5,85.35,3.05,9.15,0.85,0.3,1.3,44.9,3.7,3.5,0.07,50.3,0.251,0.174,0.219,0.097,194.6,87.4,0.209,0.073,156.19,3.79,75.5,6.2
Iowa,IA,"Page County, Iowa",69.96268657,25.8467279,0.530998852,2.497129736,12.5,87.5,16.7,4.1,74.2,22057.86794,19.75,8.4,15840,56.3,11.55,13.9,93.05,2.45,2.5,0.6,0.5,0.8,43.5,3.5,3.2,0.06,40.9,0.254,0.162,0.322,0.109,206.4,59.4,0.103,0.054,124.33,,68.3,
Ohio,OH,"Warren County, Ohio",66.472071,28.91452378,0.610044287,3.708404082,9.2,90.8,35.9,13.3,79.9,37004.03905,7.9,5.4,207911,54.3,6.05,7.5,89.75,3.15,2,3.45,0.1,1.5,37,2.8,3.4,0.07,21.2,0.199,0.141,0.262,0.086,152.2,69.5,0.091,0.063,74.12,1.12,46.4,5.7
Arkansas,AR,"Sharp County, Arkansas",74.59287883,20.31465636,0.676235164,2.125310516,19.6,80.4,12.5,5.1,75.8,20031.42286,30.85,15.4,17476,44.2,21,30.9,95.15,0.45,1.5,0.15,0.75,2.05,46.1,4.1,6.6,0.08,60.2,0.308,0.311,0.303,0.12,172.6,67.3,0.224,0.099,95.92,,105.5,
Tennessee,TN,"Knox County, Tennessee",58.97604677,35.06576819,0.91149465,4.157508953,11.7,88.3,33.8,12.3,76.85,27648.14603,22.2,8.25,427940,43.4,14.2,17.25,84.75,8.75,2.9,1.8,0.2,1.6,37.1,4.1,3.6,0.09,35.2,0.293,0.185,0.295,0.105,439.9,239.7,0.149,0.063,561.65,6.68,79.3,6.1
Mississippi,MS,"Yazoo County, Mississippi",46.17873029,52.78002426,0.060655075,0.475131419,26.4,73.6,11.9,3.7,71.8,18298.22921,48.25,25.4,28180,58.8,32.2,47.8,37.65,57.35,3.35,0.25,0.35,1.05,34.8,4,3.6,0.14,91.4,0.627,0.245,0.383,0.132,953.9,475.9,0.2,0.114,,12.62,73.9,11
Michigan,MI,"Gogebic County, Michigan",54.95692602,39.99726514,1.613564884,2.912621359,9.8,90.2,18.6,4.5,72.8,21427.58889,33.75,10.65,16310,54.9,17.65,27,90.25,3.7,1.15,0.35,3.15,1.4,46.2,4,3.7,0.06,32.1,0.359,0.136,0.283,0.107,159.7,,0.161,0.102,,,92.3,
North Carolina,NC,"Rowan County, North Carolina",67.1993405,30.45118742,,2.349472082,20,80,17,4.8,74.8,26819.39746,25.45,10.7,137907,41.7,15.6,21.3,74.7,15.55,6.95,0.95,0.25,1.65,38.7,4.2,4.2,0.1,51.4,0.366,0.249,0.331,0.126,487.6,283.8,0.194,0.099,328.15,6.53,77.7,8
North Dakota,ND,"Morton County, North Dakota",72.80504277,19.79159967,0.906927381,5.866083489,12.2,87.8,22.3,3.2,74.15,28403.73175,16.1,9.5,26660,19,8.3,11.4,93.45,0.35,1.25,0.35,3.4,1.2,40.5,3.1,2.5,0.07,29.4,0.251,0.181,0.294,0.075,349.8,,0.117,0.037,184.22,,64.5,9.4
New Mexico,NM,"Harding County, New Mexico",59.01328273,29.60151803,0.569259962,10.43643264,10.2,89.8,18.2,3,73.45,28151.8873,12.95,23.7,675,0,21.25,16.2,49.2,0.6,48.15,1.2,0.75,0.05,41.3,,,,,0.181,,0.253,0.096,,,0.227,0.046,,,,
Massachusetts,MA,"Hampshire County, Massachusetts",26.83015705,66.28527007,3.145914562,3.73865831,7.6,92.4,41.3,20.8,88.05,24151.30445,11.85,8.1,156620,64.9,11.6,11.15,87.05,2.15,4.55,4.1,0.15,2,36.1,3.3,2.9,0.07,5.4,0.289,0.121,0.224,0.066,250.3,102.4,0.047,0.056,244.06,,38,3.7
Illinois,IL,"Jasper County, Illinois",77.84090909,18.10344828,0.509404389,3.546238245,11.8,88.2,13,5.6,76.6,24235.53969,15.25,5.05,9671,44.8,9.3,11.15,98.25,0.2,0.65,0.2,0.2,0.45,42.6,,,0.1,29.4,0.268,,0.3,0.102,133.8,,0.133,0.083,231.66,,82,
Texas,TX,"Brown County, Texas",86.09936196,11.62090472,0.465983225,1.81375009,18.3,81.7,15,4.5,69,25256.64921,25.9,13.45,38165,31,16.95,21.2,75.35,3.85,18.9,0.3,0.45,1.1,39,5,3.4,0.09,57.7,0.292,0.258,0.323,0.105,382.3,142.6,0.238,0.06,353.22,4.12,67.6,11.3
Indiana,IN,"Decatur County, Indiana",76.50292925,19.11671924,,4.38035151,15.4,84.6,14.8,5.9,74.1,27863.70064,18.9,7.75,25403,39.9,10.5,15.95,96.35,0.2,1.35,1.3,0.05,0.8,37.4,4.5,4.7,0.08,48,0.305,0.212,0.286,0.102,107.9,35,0.168,0.088,,,67.2,8.3
Louisiana,LA,"Jackson Parish, Louisiana",69.25241158,28.65755627,0.26795284,0.991425509,17.7,82.3,13.5,4.4,72.8,23558.69302,21.9,12.15,15692,41.8,15.1,19.05,68.75,28.6,1.3,0.1,0.1,1.15,39.5,4.6,3,0.1,61.6,0.349,0.193,0.352,0.111,404.3,144.5,0.198,0.073,56.2,,52.3,
North Dakota,ND,"McKenzie County, North Dakota",79.69090118,15.15019591,0.7618633,3.722246408,11.6,88.4,21.2,4.4,76.65,28284.47111,21.75,11.35,5977,51,11.15,15.3,74.85,0.3,1.95,0.3,21.45,1.2,38.9,2.2,2.7,0.05,32.7,0.323,0.256,0.326,0.097,256.4,,0.141,0.015,91.69,,116.8,
Oklahoma,OK,"Coal County, Oklahoma",79.06393648,17.17509402,,3.760969494,21.5,78.5,9.1,2.6,74.55,22594.66064,32.35,21.5,5811,54.7,21.6,32.65,72.3,0.35,3,0.1,13,11.3,40.7,4.2,,0.09,78.1,0.365,0.228,0.332,0.136,489.2,,0.257,0.059,124.73,,130.9,
Arkansas,AR,"Arkansas County, Arkansas",61.58428594,31.21880535,1.030429882,2.028658831,20.6,79.4,14.3,5.1,72.05,22615.16857,28.85,15.4,19202,39.3,18.65,21.1,71.8,24.35,2,0.5,0.1,1.25,42,4.3,4,0.12,65.7,0.383,0.22,0.354,0.144,735.8,165.1,0.197,0.077,324.38,9.52,87.9,
Illinois,IL,"Cook County, Illinois",21.41931623,74.3757709,1.485002786,2.719910082,16.8,83.2,33.2,13.1,77.85,32240.15651,22.85,11.6,5225838,54.5,15.2,22.1,44.55,24.85,23.25,5.85,0.1,1.4,35.1,3.5,3.5,0.09,44.1,0.379,0.183,0.262,0.091,704.8,558.5,0.188,0.093,696.89,11.58,48.4,7.9
Mississippi,MS,"Jackson County, Mississippi",68.63301441,28.7847795,0.334323106,1.803585175,15.4,84.6,18.4,6,75.1,26936.54254,23.85,9.45,135690,49.5,14.8,21.45,70.45,21.7,4.05,2.05,0.3,1.5,37,4.1,4.3,0.1,55,0.373,0.266,0.331,0.129,419.6,206.9,0.199,0.098,355.93,8.65,101.8,7.7
North Carolina,NC,"Watauga County, North Carolina",46.99850534,48.50012166,,4.501373006,13.1,86.9,37.1,16.3,86.85,13780.88222,21.2,9.6,47857,56.3,23.65,14.9,93.35,1.5,2.7,0.85,0.2,1.5,28,3.8,3.2,0.06,9.9,0.263,0.164,0.275,0.092,179.2,62.3,0.199,0.083,110.09,,60.7,9.2
Nebraska,NE,"Wayne County, Nebraska",71.52406417,22.13903743,0.935828877,5.401069519,8.4,91.6,28,8.5,88.25,16631.49048,31.65,10.4,9464,73.7,15.5,18.65,93.1,0.95,3.65,0.9,0.25,1.1,28.3,2.2,2.1,0.06,7.5,0.267,0.128,0.291,0.072,231.5,,0.133,0.032,74.33,,58.5,
Arkansas,AR,"Greene County, Arkansas",73.47527473,20.98901099,0.666208791,2.754120879,19.1,80.9,12,3.8,77.05,23933.95429,31.4,14,41140,58.8,17.25,23.55,95.45,0.7,1.9,0.3,0.55,1.15,37.3,4.2,3.3,0.07,65.5,0.297,0.177,0.378,0.149,367.5,92,0.183,0.088,290.34,6.31,83.3,8.8
Colorado,CO,"La Plata County, Colorado",40.59306035,49.80144522,2.073432719,5.969663433,6.4,93.6,40.6,14.7,74.75,26967.08889,13.25,6.3,50506,46.8,10.3,10.4,80.5,0.45,11.4,0.6,5.1,1.9,38,2.5,2.5,0.08,24.3,0.247,0.174,0.167,0.055,335.2,78.4,0.204,0.066,424.8,3.77,77.8,
Nebraska,NE,"Nance County, Nebraska",78.61163227,17.51094434,0.938086304,2.939337086,14.8,85.2,11.6,2.6,73.6,27542.57143,10.45,14.2,3643,37.3,10.6,8.8,96.95,0.6,1.7,0.05,0.25,0.4,44.7,2.4,2.1,0.08,12.5,0.347,0.133,0.305,0.113,187.2,,0.156,0.029,36.32,,,
Ohio,OH,"Butler County, Ohio",62.01149494,33.66543563,0.664402513,3.332106257,13.2,86.8,25.9,9.5,79.95,29687.65048,19.15,6.8,362504,49.8,12.75,16.05,85.65,6.85,3.35,2.2,0.2,1.8,35.7,4,3.7,0.08,35.8,0.303,0.227,0.298,0.104,302.2,84.2,0.129,0.071,339.05,2.94,55,8
Ohio,OH,"Summit County, Ohio",43.82344351,51.98189944,0.897826252,2.891128564,10.5,89.5,29.2,10,80.2,29918.01461,22.65,7.95,543001,52.4,13.4,19,80.5,14.05,1.4,2.05,0.2,1.8,39.5,3.6,3.6,0.09,33.9,0.343,0.187,0.292,0.104,442.4,145.9,0.141,0.068,417.92,5.07,54.6,7.4
Kentucky,KY,"Todd County, Kentucky",75.65982405,21.82656054,0.544616674,1.340594889,27.2,72.8,10,4.4,71.9,24036.99873,24,20.6,12251,36.6,19.65,28.55,87.15,8.25,3.35,0.05,0.1,1.1,36.5,6.1,5.4,0.09,37.8,0.304,0.285,0.329,0.115,232.7,105.9,0.22,0.079,65.15,,71.5,
Iowa,IA,"Hardin County, Iowa",62.1037635,32.9336341,0.332423127,3.490442835,9.5,90.5,20.2,6.7,78.8,25240.5854,22,8.35,17510,43.2,10.8,16.7,94.15,1.1,3.6,0.35,0.2,0.65,43.5,2.4,2.6,0.07,28.7,0.172,0.202,0.338,0.085,235.3,,0.114,0.055,108.88,,79.1,
Kansas,KS,"Butler County, Kansas",69.42811726,23.98802262,1.441721193,5.142138923,8.1,91.9,24.8,7.3,79.25,31134.50508,16.2,5.85,64379,53.4,7.85,10.6,91.6,1.55,3.35,0.65,0.8,2,37.1,2.9,3.2,0.07,29.6,0.225,0.169,0.333,0.094,261.3,59.8,0.112,0.066,218.56,,67.2,6.9
Washington,WA,"Mason County, Washington",48.75931862,42.75578925,1.962761551,5.502935139,13.4,86.6,17.9,5.7,71.8,27107.25588,20.4,9.8,58520,28.7,15.35,19.75,83.65,1.1,7.3,1.25,3.2,3.55,43.6,4.4,4.4,0.06,44.1,0.327,0.249,0.322,0.1,267.1,166.8,0.196,0.104,307.36,3.45,71.9,6.5
North Carolina,NC,"Dare County, North Carolina",59.35609448,37.24025462,,3.403650902,8.2,91.8,32.1,10.2,72.1,29131.64,17.65,6.3,33948,41.2,10,15.65,90,3.05,5,0.45,0.25,1.25,43,4,4.1,0.07,27.3,0.345,0.309,0.281,0.1,274,135.3,0.203,0.113,355.95,,64.2,
New York,NY,"Queens County, New York",22.0965486,75.49810931,1.35753029,1.047811796,20,80,29.5,10.3,78.3,32150.97492,16.9,12.8,2254791,53.1,12.55,17.05,29.35,17.9,26.9,22.05,0.3,3.5,37.1,3.3,3.5,0.08,23.7,0.329,0.132,0.229,0.093,575.2,862.6,0.204,0.083,589.07,4.49,31.3,5.2
Louisiana,LA,"Tangipahoa Parish, Louisiana",64.78112293,32.20442527,0.545999504,1.609362173,20.9,79.1,19.7,6.3,73,25211.96127,35.25,13.65,117663,51.8,22.25,30.4,65.95,29.3,2.85,0.55,0.25,1.1,33.3,4.1,4,0.11,51.9,0.432,0.201,0.368,0.117,651.9,252.7,0.206,0.077,1172.39,8.34,91.3,9
Missouri,MO,"Monroe County, Missouri",76.17554859,20.56908609,0.313479624,2.748975163,15.4,84.6,11.9,4.7,77.25,24967.53715,19.65,11.3,8990,51.7,12.4,19.2,93.9,2.9,0.95,0.25,0.15,1.85,43.2,4.4,3.1,0.09,31.7,0.269,0.256,0.321,0.129,206.1,,0.194,0.082,305.1,,112.2,
Virginia,VA,"Shenandoah County, Virginia",69.23039095,25.9109909,0.722891566,2.729284485,17.3,82.7,17.5,6.5,72.1,28894.04953,7.45,10.4,41159,20,8.85,9.55,90.5,1.8,5.75,0.55,0.15,1.25,42.8,3.2,2.8,0.07,42.1,0.331,0.206,0.3,0.119,123,48.1,0.18,0.066,92,,59.8,
Iowa,IA,"Wapello County, Iowa",58.08215524,37.28327554,0.806881835,2.534009069,16.3,83.7,14.9,5.1,71,25086.09588,25.15,10.65,35554,46.7,15.55,22.8,88.75,1.05,7.95,0.8,0.2,1.3,39.8,3.7,2.9,0.07,52.3,0.345,0.212,0.304,0.093,358.5,63.9,0.124,0.073,363.15,,60.8,
Colorado,CO,"Boulder County, Colorado",21.93453476,70.56610179,1.90680963,4.184230628,6.3,93.7,57,25,82.1,29833.89461,16.65,5.15,295045,57.8,12.8,12.2,79.75,0.8,13.15,3.9,0.35,2.1,35.3,2.8,2.8,0.08,16.6,0.236,0.115,0.149,0.047,282.3,182.1,0.148,0.061,215.63,1.29,63.5,4.7
Georgia,GA,"Hart County, Georgia",72.29334127,25.63262876,,2.074029969,24.7,75.3,15.2,5.6,73.45,24503.55937,34.2,16,24650,51.2,21.05,27.9,76.95,19.25,2.35,0.45,0.05,0.95,41.9,4,,0.1,46.8,0.29,,0.284,0.117,241.1,139.3,0.232,0.11,328.18,,83.9,
Minnesota,MN,"Nobles County, Minnesota",61.67364991,31.80865922,0.465549348,3.002793296,21.5,78.5,16,4.6,73.6,23593.23937,37.1,12.15,20828,37.9,18.4,26.8,71.35,2.65,19.9,4.9,0.2,1,37.5,2.4,1.2,0.06,59.2,0.337,0.095,0.277,0.085,233.7,107.9,0.162,0.042,170.67,,53.3,
Oklahoma,OK,"Sequoyah County, Oklahoma",75.41733047,21.20246589,,3.380203643,20,80,12.2,3.7,75.6,22839.10572,33.55,12.4,41638,40.1,21.5,33.35,66.05,1.9,3.3,0.4,16.5,11.9,38.4,6.3,5.2,0.08,66.8,0.331,0.313,0.381,0.149,299.9,63.9,0.235,0.085,243,6.2,87,7.8
Texas,TX,"Brazos County, Texas",58.54685323,34.89157429,0.805621176,5.755951299,15.5,84.5,39.3,16.9,81.3,15905.10318,29,7.15,183116,42.9,30.15,24.9,60.95,10.5,22.15,4.75,0.2,1.4,24.1,3.8,2.8,0.08,26.7,0.387,0.131,0.283,0.071,503,154.1,0.242,0.055,393.69,2.85,37.2,5
New Mexico,NM,"Los Alamos County, New Mexico",31.06569616,50.79320642,1.110488988,13.97909668,0.7,99.3,64,36.8,86.35,52632.75238,3.4,2.4,18190,61.6,2.8,2.3,76.2,0.5,14.6,6.2,0.45,1.95,43.5,2.9,2.8,0.1,10.1,0.222,0.095,0.185,0.067,109.8,60.3,0.047,0.035,227.14,,63.1,
South Carolina,SC,"Calhoun County, South Carolina",50.11253806,47.25274725,0.450152257,1.390176089,18.4,81.6,20.3,6.5,76.55,26827.50254,26.05,16.8,14960,66.5,15.05,20.2,52.65,42.95,2.5,0.25,0.15,1.5,43.9,3.9,3.9,0.11,41.7,0.427,0.159,0.384,0.158,435.8,256.5,0.191,0.107,571.17,9.38,102.5,
Alabama,AL,"Pickens County, Alabama",57.44680851,41.83694965,0.200126396,0.516115441,21.3,78.7,11.5,3.4,74.15,23145.62381,37.25,22.15,19637,50.7,26.55,36.1,55.9,41.95,1.3,0.1,0.1,0.65,40.7,5.2,3.3,0.12,41.3,0.487,0.181,0.385,0.157,837.3,174.5,0.176,0.09,236.9,,75.3,
Missouri,MO,"Cedar County, Missouri",79.94584263,16.08792609,0.477859191,2.851226505,16.9,83.1,11.9,3.8,76.85,19255.83397,34.85,10.45,13886,46.1,18.95,27.35,95.65,0.05,1.55,0.35,0.8,1.6,44.5,,,0.05,48.3,0.298,,0.313,0.11,229.4,50.5,0.203,0.069,252.05,,102.2,
Missouri,MO,"DeKalb County, Missouri",77.12418301,17.95206972,0.653594771,3.877995643,17.4,82.6,12,3.4,74.15,25604.36381,17.4,12.15,12563,42.2,9.3,10.05,85.85,9.75,1.55,0.6,0.4,1.85,39.7,2.9,3.4,0.07,36.3,0.177,0.205,0.354,0.098,164.5,396.8,0.158,0.062,117.55,,54.4,
Mississippi,MS,"Scott County, Mississippi",58.19397993,40.52903618,0.192561062,0.760109456,29.2,70.8,10.3,3.7,70.55,21147.86445,36.9,16.3,28700,39.8,23.5,34.05,51.3,37.65,10.2,0.15,0.1,0.65,35.3,4.5,4.4,0.13,87.6,0.491,0.235,0.389,0.138,1003.9,346.8,0.274,0.075,237.6,15.73,105.1,12.3
Ohio,OH,"Knox County, Ohio",66.85033132,28.6624892,0.7346586,3.172716796,12.5,87.5,19,6.9,77.4,24187.77969,20.25,9.05,59896,31.7,12.15,16.8,96.2,0.8,1.1,0.55,0.2,1.15,38,3.1,3.2,0.06,26.1,0.269,0.207,0.316,0.107,153.4,30.9,0.146,0.068,,2.63,58.2,5.7
Oklahoma,OK,"Harper County, Oklahoma",88.01346801,8.821548822,,3.164983165,15.9,84.1,17.1,5,81.2,30674.55429,26,10.3,3512,40.6,12,20.9,83.25,0.05,14.65,0.35,0.7,1,43.4,,,0.07,46.2,0.267,,0.327,0.117,243.6,,0.252,0.029,56.12,,133.1,
Texas,TX,"Castro County, Texas",70.79158317,26.35270541,0.501002004,2.354709419,31.9,68.1,14.9,2.6,74.55,22134.54095,43.45,11.4,7647,36.7,22.55,34.1,40.05,2,56.7,0.3,0.2,0.8,33.6,,,0.08,83.8,0.278,,0.296,0.1,209.5,,0.337,0.051,154.39,,71.4,
Georgia,GA,"Emanuel County, Georgia",68.00204134,31.04108191,,0.956876754,27.6,72.4,9.7,4.3,69.7,20171.68127,42.45,15.95,22609,73.7,24.5,35.65,60.4,33.15,5.35,0.35,0.1,0.7,36.4,4.3,2.6,0.1,74.4,0.423,,0.3,0.113,620.4,370.4,0.247,0.113,96.61,9.68,95.8,10.5
Georgia,GA,"Johnson County, Georgia",68.41390549,30.85279739,,0.733297121,34.5,65.5,8.9,2.9,66.95,20483.93778,49.5,30.15,9591,25.9,27.35,38.5,61.05,36.7,1.3,0.4,0.1,0.45,40.3,5.6,4.8,0.11,63.8,0.365,0.149,0.325,0.134,421.1,419.2,0.215,0.13,422.19,,66.2,
Kansas,KS,"Stevens County, Kansas",84.40366972,11.60280626,1.349163519,2.644360496,21,79,13.9,4.2,77.6,29374.36984,24.6,11.35,5434,51.2,12.25,16.8,67.7,0.3,30.4,0.3,0.4,0.9,34.5,,1.1,0.04,50.9,0.104,0.245,0.337,0.103,124.7,,0.215,0.041,25.53,,104.9,
Ohio,OH,"Mercer County, Ohio",80.6943467,15.6462585,0.506685433,2.589725545,11.7,88.3,15.4,6.2,78.35,27581.76476,13.65,7.8,40787,34.8,8.15,8.7,96.8,0.2,1.5,0.4,0.2,0.9,38.5,2.3,2.6,0.05,25.7,0.178,0.149,0.291,0.111,169,23.8,0.133,0.044,88.92,,52.7,
Wisconsin,WI,"Juneau County, Wisconsin",61.24744376,34.93524199,0.903203817,2.436946149,15.3,84.7,12.1,3.6,73.95,27125.7527,20.3,10.35,26578,34.8,11.25,16.2,92.55,1.4,2.35,0.4,2.1,1.15,43,4.8,,0.07,37.4,0.298,0.256,0.295,0.097,213.3,21.7,0.124,0.087,201.56,,87.5,
Minnesota,MN,"Beltrami County, Minnesota",50.58641396,40.75811597,1.97035091,3.659223119,11,89,29.1,10.7,75,21814.71492,30.85,10.5,43924,33.9,19.2,25.75,74.95,0.6,1.6,0.75,19.05,3.1,33,2.7,3.1,0.06,56,0.405,0.295,0.283,0.083,311.5,24.7,0.153,0.073,312.83,8.23,73.1,7.2
Alaska,AK,"Hoonah-Angoon Census Area, Alaska",,,,,12.4,87.6,27.9,10.4,78.9,23703.87746,29.5,3.55,2096,0,13.8,18.75,43.95,0.2,3.85,0.55,40.4,11.1,45.7,,,,,,,,,,,,,,,,
Colorado,CO,"Chaffee County, Colorado",48.03163924,43.39485408,1.727429766,4.754977725,9.2,90.8,33.3,10.5,72.55,21144.43238,15.65,11.75,17339,72.6,11.9,16.1,86.75,1.5,9.25,0.55,0.8,1.1,46.3,2.3,2.6,0.1,32.6,0.31,0.203,0.162,0.06,145,65.6,0.195,0.071,86.74,,104.9,
Texas,TX,"Johnson County, Texas",77.47511786,19.16535708,0.562248996,2.797276061,18.3,81.7,16.1,4.3,73.35,29422.87619,16.75,7.75,150505,29.9,10.8,15.05,77.3,3,17,0.65,0.55,1.5,36.1,5.1,4.1,0.08,58.2,0.271,0.197,0.326,0.127,329.3,108.3,0.261,0.066,250,2.95,63.7,6.9
Ohio,OH,"Montgomery County, Ohio",48.39156916,47.14737939,0.874739542,3.239701875,12.3,87.7,24.3,9.3,78.95,27174.00699,27.25,8.35,536726,48.5,15.55,22.55,73.65,20.45,2.1,1.6,0.15,2.05,38.7,3.9,3.8,0.09,43.8,0.42,0.208,0.304,0.125,533.3,244.8,0.144,0.078,443.07,9.05,85.3,7.6
Ohio,OH,"Pickaway County, Ohio",69.21138826,26.56000672,0.69286974,3.073822121,17.1,82.9,13.5,4.9,74.8,28952.42476,24.75,6.7,54781,38.8,12.05,18.3,92.9,4.05,1,0.3,0.25,1.6,37.8,5,4.6,0.08,39.5,0.308,0.209,0.33,0.102,228.6,843.5,0.129,0.076,154.21,,54.4,6.3
South Dakota,SD,"Miner County, South Dakota",66.35338346,26.40977444,,6.296992481,14.4,85.6,17.5,4.4,85.1,26002.35588,9.25,16.2,2421,46.3,8.25,7.7,97.95,0.05,0.75,0.2,0.6,0.45,47.8,,,,19.6,0.198,,0.313,0.088,169.6,,0.13,0.041,27.77,,,
North Carolina,NC,"Moore County, North Carolina",63.40426423,33.82063419,,2.775101579,11.6,88.4,29.8,10.3,77.3,26119.31238,23.85,7.05,86263,49.5,12.5,19.6,77.65,14,5.8,0.75,0.7,1.05,44.7,3.6,3.1,0.08,42.2,0.335,0.154,0.285,0.113,293.2,175.6,0.183,0.088,225.03,7.12,79.7,7.9
North Dakota,ND,"Adams County, North Dakota",74.95854063,17.91044776,0.663349917,5.389718076,14.7,85.3,18.4,2.3,66.6,22294.86953,18.95,15.1,2317,20.5,12,9.95,96.45,0.15,0.45,0.2,0.8,1.95,49.5,2.5,3,,27.6,0.252,0.112,0.331,0.112,,,0.136,0.027,57.53,,,
Kansas,KS,"Chautauqua County, Kansas",84.11924119,12.79132791,1.463414634,1.62601626,13,87,17,4.7,73.45,24643.15683,19.55,6.7,3747,52,10.85,9.75,90.25,0.9,1.8,0.05,3.95,3.1,47.5,2.7,,,44.6,0.298,0.278,0.306,0.108,223.2,,0.211,0.061,,,,
Virginia,VA,"Botetourt County, Virginia",71.71825546,24.09741967,0.541816426,2.65543694,10.8,89.2,22.9,6.8,79.8,32942.19207,10.2,6.15,32689,63.4,6.3,6.3,93.4,3.9,1.05,0.55,0.2,0.9,43.6,4.5,3.4,0.07,18,0.154,0.143,0.272,0.104,194.4,52.5,0.116,0.054,74.55,,54.2,11.1
Maine,ME,"Knox County, Maine",39.73763086,54.03761783,2.323965075,3.900786239,10.3,89.7,26.9,8.8,75.15,24088.39048,25.1,10.05,40316,39.3,12.4,16.05,96.75,0.35,0.9,0.55,0.3,1.15,45.7,3.6,3.7,0.06,30.7,0.368,0.149,0.26,0.097,186.4,80.6,0.134,0.068,59.08,,81.3,
Tennessee,TN,"Sumner County, Tennessee",70.49099606,25.53882949,0.517726505,2.955824423,14.6,85.4,23,6.6,77.1,30928.36635,17.4,8.95,156259,38.8,9.85,13.6,87.55,6.5,3.5,1,0.25,1.25,38.2,3.6,3.4,0.08,41.8,0.265,0.2,0.294,0.1,251.7,112.9,0.151,0.067,287.02,3.01,62.9,6.5
Nebraska,NE,"Merrick County, Nebraska",78.60803885,16.21257081,0.728351767,4.451038576,9.7,90.3,13.5,5.1,75.9,25341.09461,27.2,4.25,7758,34.4,9,11.25,95.25,0.35,2.6,0.4,0.2,1.25,42.1,2.5,2.7,0.07,25.3,0.233,0.175,0.331,0.1,90.5,,0.134,0.035,141.81,,84.8,
New York,NY,"Washington County, New York",57.00638364,36.77514397,2.455247534,3.763224856,14.1,85.9,16.8,7.3,75.5,26534.81556,20.65,6.75,62851,54.1,11.7,17.65,93.2,2.8,2.3,0.45,0.2,1.1,41.2,3.7,3.1,0.08,30.9,0.31,0.281,0.283,0.1,239.1,325.2,0.114,0.078,129.67,,52,7
Tennessee,TN,"Loudon County, Tennessee",75.47202197,21.09509097,0.373326468,2.458805355,15.7,84.3,22.6,7.2,69.75,25760.62953,28,7.15,46866,22.3,13.45,23.4,91.55,1,5.65,0.4,0.2,1.25,45.1,3.7,3,0.08,53.4,0.253,0.236,0.295,0.138,195,63.8,0.169,0.067,349.6,,74.8,7
